turn, property_1, property_2, property_3, property_4, property_5, property_6, property_7, property_8, property_9, property_10, property_11, property_12, property_13, property_14, property_15, property_16, property_17, property_18, property_19, property_20, property_21, property_22, property_23, property_24, property_25, property_26, property_27, property_28, property_29, property_30, property_31, property_32, property_33, property_34, property_35, property_36, property_37, property_38, property_39, property_40, jail_card_1, jail_card_2, agent_position_1, agent_position_2, agent_cash_1, agent_cash_2, agent_1_owed, agent_1_debt, agent_2_owed, agent_2_debt
79, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 7, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 4, 5, 80.19839999999999, 1626, 0, 0, 0, 0
79, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 7, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 4, 13, 80.19839999999999, 1626, 0, 0, 0, 0
80, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 7, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 8, 13, 74.19839999999999, 1632, 0, 0, 0, 0
81, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 7, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 8, 20, 74.19839999999999, 1632, 0, 0, 0, 0
82, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 7, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 17, 20, 24.198399999999992, 1632, 0, 0, 0, 0
83, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 7, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 17, 28, 24.198399999999992, 1632, 0, 0, 0, 0
84, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 7, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 26, 28, 24.198399999999992, 1632, 0, 0, 0, 0
85, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 26, 35, 103.19839999999999, 1432, 0, 0, 0, 0
86, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 35, 35, 103.19839999999999, 1432, 0, 0, 0, 0
87, 0, -1, 0, 1, 0, 1, 0, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 35, 39, 103.19839999999999, 1432, 0, 0, 0, 0
87, 0, -1, 0, 1, 0, 1, 1, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 7, 7, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 35, 6, 83.19839999999999, 1632, 0, 0, 0, 0
88, 0, -1, 0, 1, 0, 1, 1, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 3, 6, 41.19839999999999, 1632, 0, 0, 0, 0
88, 0, -1, 0, 1, 0, 1, 1, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 10, 6, 41.19839999999999, 1632, 0, 0, 0, 0
89, 0, -1, 0, 1, 0, 1, 1, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 10, 12, 41.19839999999999, 1632, 0, 0, 0, 0
89, 0, -1, 0, 1, 0, 1, 1, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 10, 21, 77.19839999999999, 1596, 0, 0, 0, 0
90, 0, -1, 0, 1, 0, 1, 1, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 18, 21, 63.19839999999999, 1610, 0, 0, 0, 0
91, 0, -1, 0, 1, 0, 1, 1, 0, -1, 1, 0, 1, 6, -1, 1, 1, -1, 0, -1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, -1, 0, 0, 18, 28, 63.19839999999999, 1610, 0, 0, 0, 0
